фирмы,услуги,размер,отрасль,наличие_целей_по_улучшению_окр_среды,наличие_менеджера_по_окр_среде,отслеживание_выбросов_CO2,наличие_целевых_уровней_выбросов_CO2,прим_более_благ_ист_энерго,минимал_отходов,меры_по_огр_загряз_воздуха,меры_по_огр_загрязн_возд,наличие_выбросов_CO2
22,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
29,Машины и оборудование,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
34,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Не знаю,Нет
50,Готовые Металлические Изделия,Малый,Строительство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
56,Другие Услуги,Малый,Оптовая торговля,Да,Нет,,Нет,Не применимо,Не применимо,Нет,Не применимо,Нет
90,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
103,Другие Услуги,Средний,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
126,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
135,Другое Производство,Крупный,Производство,Да,Нет,,Нет,Нет,Да,Да,Нет,Нет
139,Неметаллические Минеральные продукты,Средний,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
140,Неметаллические Минеральные продукты,Крупный,Производство,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да
142,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
144,Готовые Металлические Изделия,Средний,Производство,Да,Нет,,Нет,Нет,Да,Да,Нет,Нет
145,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
153,Другое Производство,Крупный,Производство,Да,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
160,Готовые Металлические Изделия,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
176,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Не применимо,Нет,Нет,Не применимо,Нет
185,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
188,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
210,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
211,Другие Услуги,Крупный,Розничная торговля,Да,Нет,,Нет,Нет,Да,Нет,Нет,Нет
214,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Не применимо,Да,Не знаю,Не знаю,Нет
224,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
227,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
231,Другие Услуги,Малый,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
233,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
235,Готовые Металлические Изделия,Средний,Производство,Да,Нет,,Нет,Нет,Не применимо,Да,Нет,Нет
236,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Да,Да,Нет,Нет
237,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Да,Да,Нет,Нет
241,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,Да,Нет,Да,Да,Нет,Да,Да
243,Еда,Крупный,Производство,Да,Нет,,Нет,Нет,Да,Да,Не знаю,Нет
245,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
253,Машины и оборудование,Крупный,Производство,Нет,Нет,,Нет,Да,Да,Да,Да,Нет
258,Готовые Металлические Изделия,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Не знаю,Нет
262,Готовые Металлические Изделия,Средний,Производство,Да,Нет,,Нет,Нет,Да,Нет,Нет,Нет
289,Другие Услуги,Средний,Оптовая торговля,Да,Нет,,Нет,Да,Нет,Да,Да,Нет
290,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
309,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Не знаю,Не знаю,Не знаю,Не знаю,Нет
322,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
328,Другие Услуги,Средний,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
348,Готовые Металлические Изделия,Крупный,Производство,Да,Нет,Да,Да,Нет,Да,Да,Нет,Да
406,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
450,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
451,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Не применимо,Нет
455,Предметы одежды,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
456,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
459,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
460,Неметаллические Минеральные продукты,Крупный,Производство,Да,Да,,Нет,Нет,Да,Нет,Нет,Нет
461,Другие Услуги,Средний,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
463,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
465,Другое Производство,Средний,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Да,Нет
467,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
472,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Не применимо,Нет
476,Другое Производство,Малый,Производство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
478,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
484,Другое Производство,Малый,Производство,Нет,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да
486,Неметаллические Минеральные продукты,Малый,Производство,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Да
487,Другое Производство,Средний,Производство,Да,Нет,,Нет,Да,Да,Да,Да,Нет
488,Готовые Металлические Изделия,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Не знаю
490,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Да,Нет,Нет
493,Другие Услуги,Крупный,Сфера услуг,Да,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
494,Машины и оборудование,Малый,Розничная торговля,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да
496,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
504,Другое Производство,Крупный,Сфера услуг,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
507,Другое Производство,Малый,Производство,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
509,Еда,Малый,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
510,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Да,Да,Нет
515,Другое Производство,Крупный,Производство,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
516,Другое Производство,Крупный,Производство,Да,Да,,Не знаю,Не знаю,Не знаю,Не знаю,Не знаю,Не знаю
523,Другие Услуги,Малый,Строительство,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Да
528,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
529,Розничная торговля,Малый,Розничная торговля,Нет,Нет,,Нет,Не применимо,Не применимо,Не применимо,Не применимо,Нет
530,Другие Услуги,Малый,Строительство,Нет,Нет,,Нет,Да,Нет,Нет,Нет,Нет
538,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
539,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Да,Нет,Нет,Нет
547,Другие Услуги,Крупный,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Да,Нет
548,Розничная торговля,Средний,Розничная торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
558,Другие Услуги,Крупный,Транспорт,Нет,Нет,Да,Да,Нет,Да,Да,Нет,Да
560,Другие Услуги,Малый,Оптовая торговля,Нет,Нет,,Нет,Нет,Нет,Нет,Нет,Нет
